time,subcycling_plastic_strain,trapezoid_plastic_strain,relative_difference_percent
1.651774999999999953e-05,2.813383295014070711e-04,3.196330999999999738e-04,1.198085257709320750e+01
1.663809999999999915e-05,2.845840666914458751e-04,3.254387999999999986e-04,1.255373769463079547e+01
1.667137999999999961e-05,2.854816000000000146e-04,3.265642795175186680e-04,1.258027350027875713e+01
1.672515000000000029e-05,2.869789633877508836e-04,3.283827000000000230e-04,1.260837937328889069e+01
1.676754999999999839e-05,2.881596999999999848e-04,3.295514142270299313e-04,1.256001717489670710e+01
1.687120999999999936e-05,2.912419173240234083e-04,3.324086999999999875e-04,1.238438785626747496e+01
1.687352999999999903e-05,2.913109000000000098e-04,3.324855760113819151e-04,1.238389842510713379e+01
1.695203999999999906e-05,2.936661381128803346e-04,3.350871000000000058e-04,1.236125230936066188e+01
1.700039000000000004e-05,2.951165999999999859e-04,3.366238232278878553e-04,1.233044733134894066e+01
1.706362999999999912e-05,2.972580643634478996e-04,3.386338000000000239e-04,1.221843053958350467e+01
1.713879999999999928e-05,2.998035083261357575e-04,3.406128000000000129e-04,1.198113860485109683e+01
1.717405999999999935e-05,3.009975000000000129e-04,3.415041853528289666e-04,1.186125590554007658e+01
1.721744999999999894e-05,3.021214845331204706e-04,3.426010999999999748e-04,1.181537813710449392e+01
1.736094000000000119e-05,3.058384824740622296e-04,3.469535000000000045e-04,1.185029622872741584e+01
1.736201000000000150e-05,3.058661999999999753e-04,3.469839209497824531e-04,1.185003640434775996e+01
1.749655000000000107e-05,3.096941112511251808e-04,3.508089999999999950e-04,1.172002107952612882e+01
1.753976999999999893e-05,3.109238000000000062e-04,3.522717035683609900e-04,1.173750350923008767e+01
1.762461999999999864e-05,3.131794867807249591e-04,3.551432999999999782e-04,1.181602277708041271e+01
1.770225999999999880e-05,3.152434999999999981e-04,3.576112864114943768e-04,1.184744106838474487e+01
1.779653000000000018e-05,3.177031952251023234e-04,3.606079000000000207e-04,1.189788265173827142e+01
1.786352000000000071e-05,3.194510999999999813e-04,3.624906263952046748e-04,1.187327982056036291e+01
1.794166999999999927e-05,3.215368475654620207e-04,3.646869999999999864e-04,1.183210600721658956e+01
1.800214999999999839e-05,3.231509999999999830e-04,3.663720074515648185e-04,1.179702776754273330e+01
1.806244999999999848e-05,3.252573019493435868e-04,3.680520000000000059e-04,1.162735104024877408e+01
1.815296999999999842e-05,3.284192000000000014e-04,3.710364776293675242e-04,1.148600749491223816e+01
1.817549999999999903e-05,3.295347242824773430e-04,3.717793000000000269e-04,1.136281006433727825e+01
1.828537000000000074e-05,3.349747000000000033e-04,3.751387729025492117e-04,1.070645739756224479e+01
1.829946000000000047e-05,3.354722041531746878e-04,3.755696000000000099e-04,1.067642211904939131e+01
