time,subcycling_density,trapezoid_density,relative_difference_percent
9.617926000000000383e-04,2.027446000000000000e+13,2.004543981126327734e+13,1.142505182690175314e+00
9.648407999999999594e-04,2.027343000000000000e+13,2.004706907473309766e+13,1.129147230565503701e+00
9.678733999999999818e-04,2.026342240139851562e+13,2.004869000000000000e+13,1.071054524752069081e+00
9.697316999999999569e-04,2.025729000000000000e+13,2.005008041621664062e+13,1.033460113285963988e+00
9.742619000000000105e-04,2.027689462566475000e+13,2.005347000000000000e+13,1.114144463101647720e+00
9.747900000000000098e-04,2.027918000000000000e+13,2.005460213890333203e+13,1.119832044241934943e+00
9.807515999999999630e-04,2.028677000000000000e+13,2.006738259579803516e+13,1.093253707376381945e+00
9.808016999999999170e-04,2.028687130903021875e+13,2.006749000000000000e+13,1.093217482755535208e+00
9.864436000000000298e-04,2.029828000000000000e+13,2.009008800595485547e+13,1.036292095800848800e+00
9.868136000000000008e-04,2.029392950330164062e+13,2.009157000000000000e+13,1.007186114881219563e+00
9.916077000000000571e-04,2.023756000000000000e+13,2.010981880249361328e+13,6.352180432901107787e-01
